vacancy_id,name,description,key_skills,area,experience,employment,schedule,salary_from,salary_to,salary_currency,salary_gross,published_at,employer_id
sample-000,ML Engineer,"<p>Разработка моделей машинного обучения на Python, PyTorch, Docker и MLflow</p> Команда создаёт production-сервисы. Вакансия 0.",,Москва,Нет опыта,Полная занятость,Удалённая работа,78648,108648,RUR,True,2025-01-01T00:00:00+00:00,employer-0
sample-001,Data Scientist,"<p>Исследование данных, статистика, Python, pandas, scikit-learn и SQL</p> Команда создаёт production-сервисы. Вакансия 1.","[""Python"", ""pandas"", ""scikit-learn"", ""SQL""]",Санкт-Петербург,1-3 года,Полная занятость,Полный день,100819,130819,RUR,True,2025-01-02T00:00:00+00:00,employer-1
sample-002,Аналитик данных,"<p>Анализ метрик и отчетность: SQL, Python, pandas, статистика</p> Команда создаёт production-сервисы. Вакансия 2.","SQL,Python,pandas,статистика",Новосибирск,3-6 лет,Полная занятость,Удалённая работа,134012,164012,RUR,True,2025-01-03T00:00:00+00:00,employer-2
sample-003,Data Engineer,"<p>Построение ETL на Airflow, Spark, Kafka, PostgreSQL и Python</p> Команда создаёт production-сервисы. Вакансия 3.","Airflow,Spark,Kafka,PostgreSQL,Python",Москва,Нет опыта,Полная занятость,Полный день,158024,188024,RUR,True,2025-01-04T00:00:00+00:00,employer-3
sample-004,Python developer,"<p>Backend-разработка REST API на Python, FastAPI, PostgreSQL, Docker</p> Команда создаёт production-сервисы. Вакансия 4.","Python,FastAPI,PostgreSQL,Docker,REST API",Санкт-Петербург,1-3 года,Полная занятость,Удалённая работа,182314,212314,RUR,True,2025-01-05T00:00:00+00:00,employer-4
sample-005,DevOps инженер,"<p>Поддержка Linux, Docker, Git и CI/CD инфраструктуры</p> Команда создаёт production-сервисы. Вакансия 5.","Linux,Docker,Git,CI/CD",Новосибирск,3-6 лет,Полная занятость,Полный день,204572,234572,RUR,True,2025-01-06T00:00:00+00:00,employer-5
sample-006,ML Engineer,"<p>Разработка моделей машинного обучения на Python, PyTorch, Docker и MLflow</p> Команда создаёт production-сервисы. Вакансия 6.","Python,PyTorch,Docker,MLflow",Москва,Нет опыта,Полная занятость,Удалённая работа,78358,108358,RUR,True,2025-01-07T00:00:00+00:00,employer-6
sample-007,Data Scientist,"<p>Исследование данных, статистика, Python, pandas, scikit-learn и SQL</p> Команда создаёт production-сервисы. Вакансия 7.",,Санкт-Петербург,1-3 года,Полная занятость,Полный день,117870,147870,RUR,True,2025-01-08T00:00:00+00:00,employer-7
sample-008,Аналитик данных,"<p>Анализ метрик и отчетность: SQL, Python, pandas, статистика</p> Команда создаёт production-сервисы. Вакансия 8.","SQL,Python,pandas,статистика",Новосибирск,3-6 лет,Полная занятость,Удалённая работа,127848,157848,RUR,True,2025-01-09T00:00:00+00:00,employer-0
sample-009,Data Engineer,"<p>Построение ETL на Airflow, Spark, Kafka, PostgreSQL и Python</p> Команда создаёт production-сервисы. Вакансия 9.","Airflow,Spark,Kafka,PostgreSQL,Python",Москва,Нет опыта,Полная занятость,Полный день,169349,199349,RUR,True,2025-01-10T00:00:00+00:00,employer-1
sample-010,Python developer,"<p>Backend-разработка REST API на Python, FastAPI, PostgreSQL, Docker</p> Команда создаёт production-сервисы. Вакансия 10.","Python,FastAPI,PostgreSQL,Docker,REST API",Санкт-Петербург,1-3 года,Полная занятость,Удалённая работа,188825,218825,RUR,True,2025-01-11T00:00:00+00:00,employer-2
sample-011,DevOps инженер,"<p>Поддержка Linux, Docker, Git и CI/CD инфраструктуры</p> Команда создаёт production-сервисы. Вакансия 11.","Linux,Docker,Git,CI/CD",Новосибирск,3-6 лет,Полная занятость,Полный день,201041,231041,RUR,True,2025-01-12T00:00:00+00:00,employer-3
sample-012,ML Engineer,"<p>Разработка моделей машинного обучения на Python, PyTorch, Docker и MLflow</p> Команда создаёт production-сервисы. Вакансия 12.","Python,PyTorch,Docker,MLflow",Москва,Нет опыта,Полная занятость,Удалённая работа,75976,105976,RUR,True,2025-01-13T00:00:00+00:00,employer-4
sample-013,Data Scientist,"<p>Исследование данных, статистика, Python, pandas, scikit-learn и SQL</p> Команда создаёт production-сервисы. Вакансия 13.","[""Python"", ""pandas"", ""scikit-learn"", ""SQL""]",Санкт-Петербург,1-3 года,Полная занятость,Полный день,103070,133070,RUR,True,2025-01-14T00:00:00+00:00,employer-5
sample-014,Аналитик данных,"<p>Анализ метрик и отчетность: SQL, Python, pandas, статистика</p> Команда создаёт production-сервисы. Вакансия 14.",,Новосибирск,3-6 лет,Полная занятость,Удалённая работа,132164,162164,RUR,True,2025-01-15T00:00:00+00:00,employer-6
sample-015,Data Engineer,"<p>Построение ETL на Airflow, Spark, Kafka, PostgreSQL и Python</p> Команда создаёт production-сервисы. Вакансия 15.","Airflow,Spark,Kafka,PostgreSQL,Python",Москва,Нет опыта,Полная занятость,Полный день,157623,187623,RUR,True,2025-01-16T00:00:00+00:00,employer-7
sample-016,Python developer,"<p>Backend-разработка REST API на Python, FastAPI, PostgreSQL, Docker</p> Команда создаёт production-сервисы. Вакансия 16.","Python,FastAPI,PostgreSQL,Docker,REST API",Санкт-Петербург,1-3 года,Полная занятость,Удалённая работа,191559,221559,RUR,True,2025-01-17T00:00:00+00:00,employer-0
sample-017,DevOps инженер,"<p>Поддержка Linux, Docker, Git и CI/CD инфраструктуры</p> Команда создаёт production-сервисы. Вакансия 17.","Linux,Docker,Git,CI/CD",Новосибирск,3-6 лет,Полная занятость,Полный день,219726,249726,RUR,True,2025-01-18T00:00:00+00:00,employer-1
sample-018,ML Engineer,"<p>Разработка моделей машинного обучения на Python, PyTorch, Docker и MLflow</p> Команда создаёт production-сервисы. Вакансия 18.","Python,PyTorch,Docker,MLflow",Москва,Нет опыта,Полная занятость,Удалённая работа,75869,105869,RUR,True,2025-01-19T00:00:00+00:00,employer-2
sample-019,Data Scientist,"<p>Исследование данных, статистика, Python, pandas, scikit-learn и SQL</p> Команда создаёт production-сервисы. Вакансия 19.","[""Python"", ""pandas"", ""scikit-learn"", ""SQL""]",Санкт-Петербург,1-3 года,Полная занятость,Полный день,118390,148390,RUR,True,2025-01-20T00:00:00+00:00,employer-3
sample-020,Аналитик данных,"<p>Анализ метрик и отчетность: SQL, Python, pandas, статистика</p> Команда создаёт production-сервисы. Вакансия 20.","SQL,Python,pandas,статистика",Новосибирск,3-6 лет,Полная занятость,Удалённая работа,131515,161515,RUR,True,2025-01-21T00:00:00+00:00,employer-4
sample-021,Data Engineer,"<p>Построение ETL на Airflow, Spark, Kafka, PostgreSQL и Python</p> Команда создаёт production-сервисы. Вакансия 21.",,Москва,Нет опыта,Полная занятость,Полный день,167856,197856,RUR,True,2025-01-22T00:00:00+00:00,employer-5
sample-022,Python developer,"<p>Backend-разработка REST API на Python, FastAPI, PostgreSQL, Docker</p> Команда создаёт production-сервисы. Вакансия 22.","Python,FastAPI,PostgreSQL,Docker,REST API",Санкт-Петербург,1-3 года,Полная занятость,Удалённая работа,188746,218746,RUR,True,2025-01-23T00:00:00+00:00,employer-6
sample-023,DevOps инженер,"<p>Поддержка Linux, Docker, Git и CI/CD инфраструктуры</p> Команда создаёт production-сервисы. Вакансия 23.","Linux,Docker,Git,CI/CD",Новосибирск,3-6 лет,Полная занятость,Полный день,207223,237223,RUR,True,2025-01-24T00:00:00+00:00,employer-7
sample-024,ML Engineer,"<p>Разработка моделей машинного обучения на Python, PyTorch, Docker и MLflow</p> Команда создаёт production-сервисы. Вакансия 24.","Python,PyTorch,Docker,MLflow",Москва,Нет опыта,Полная занятость,Удалённая работа,89719,119719,RUR,True,2025-01-25T00:00:00+00:00,employer-0
sample-025,Data Scientist,"<p>Исследование данных, статистика, Python, pandas, scikit-learn и SQL</p> Команда создаёт production-сервисы. Вакансия 25.","[""Python"", ""pandas"", ""scikit-learn"", ""SQL""]",Санкт-Петербург,1-3 года,Полная занятость,Полный день,119309,149309,RUR,True,2025-01-26T00:00:00+00:00,employer-1
sample-026,Аналитик данных,"<p>Анализ метрик и отчетность: SQL, Python, pandas, статистика</p> Команда создаёт production-сервисы. Вакансия 26.","SQL,Python,pandas,статистика",Новосибирск,3-6 лет,Полная занятость,Удалённая работа,134115,164115,RUR,True,2025-01-27T00:00:00+00:00,employer-2
sample-027,Data Engineer,"<p>Построение ETL на Airflow, Spark, Kafka, PostgreSQL и Python</p> Команда создаёт production-сервисы. Вакансия 27.","Airflow,Spark,Kafka,PostgreSQL,Python",Москва,Нет опыта,Полная занятость,Полный день,150212,180212,RUR,True,2025-01-28T00:00:00+00:00,employer-3
sample-028,Python developer,"<p>Backend-разработка REST API на Python, FastAPI, PostgreSQL, Docker</p> Команда создаёт production-сервисы. Вакансия 28.",,Санкт-Петербург,1-3 года,Полная занятость,Удалённая работа,180231,210231,RUR,True,2025-01-29T00:00:00+00:00,employer-4
sample-029,DevOps инженер,"<p>Поддержка Linux, Docker, Git и CI/CD инфраструктуры</p> Команда создаёт production-сервисы. Вакансия 29.","Linux,Docker,Git,CI/CD",Новосибирск,3-6 лет,Полная занятость,Полный день,213848,243848,RUR,True,2025-01-30T00:00:00+00:00,employer-5
sample-030,ML Engineer,"<p>Разработка моделей машинного обучения на Python, PyTorch, Docker и MLflow</p> Команда создаёт production-сервисы. Вакансия 30.","Python,PyTorch,Docker,MLflow",Москва,Нет опыта,Полная занятость,Удалённая работа,86149,116149,RUR,True,2025-01-31T00:00:00+00:00,employer-6
sample-031,Data Scientist,"<p>Исследование данных, статистика, Python, pandas, scikit-learn и SQL</p> Команда создаёт production-сервисы. Вакансия 31.","[""Python"", ""pandas"", ""scikit-learn"", ""SQL""]",Санкт-Петербург,1-3 года,Полная занятость,Полный день,109105,139105,RUR,True,2025-02-01T00:00:00+00:00,employer-7
sample-032,Аналитик данных,"<p>Анализ метрик и отчетность: SQL, Python, pandas, статистика</p> Команда создаёт production-сервисы. Вакансия 32.","SQL,Python,pandas,статистика",Новосибирск,3-6 лет,Полная занятость,Удалённая работа,130094,160094,RUR,True,2025-02-02T00:00:00+00:00,employer-0
sample-033,Data Engineer,"<p>Построение ETL на Airflow, Spark, Kafka, PostgreSQL и Python</p> Команда создаёт production-сервисы. Вакансия 33.","Airflow,Spark,Kafka,PostgreSQL,Python",Москва,Нет опыта,Полная занятость,Полный день,157055,187055,RUR,True,2025-02-03T00:00:00+00:00,employer-1
sample-034,Python developer,"<p>Backend-разработка REST API на Python, FastAPI, PostgreSQL, Docker</p> Команда создаёт production-сервисы. Вакансия 34.","Python,FastAPI,PostgreSQL,Docker,REST API",Санкт-Петербург,1-3 года,Полная занятость,Удалённая работа,186029,216029,RUR,True,2025-02-04T00:00:00+00:00,employer-2
sample-035,DevOps инженер,"<p>Поддержка Linux, Docker, Git и CI/CD инфраструктуры</p> Команда создаёт production-сервисы. Вакансия 35.",,Новосибирск,3-6 лет,Полная занятость,Полный день,203349,233349,RUR,True,2025-02-05T00:00:00+00:00,employer-3
sample-036,ML Engineer,"<p>Разработка моделей машинного обучения на Python, PyTorch, Docker и MLflow</p> Команда создаёт production-сервисы. Вакансия 36.","Python,PyTorch,Docker,MLflow",Москва,Нет опыта,Полная занятость,Удалённая работа,78039,108039,RUR,True,2025-02-06T00:00:00+00:00,employer-4
sample-037,Data Scientist,"<p>Исследование данных, статистика, Python, pandas, scikit-learn и SQL</p> Команда создаёт production-сервисы. Вакансия 37.","[""Python"", ""pandas"", ""scikit-learn"", ""SQL""]",Санкт-Петербург,1-3 года,Полная занятость,Полный день,112449,142449,RUR,True,2025-02-07T00:00:00+00:00,employer-5
sample-038,Аналитик данных,"<p>Анализ метрик и отчетность: SQL, Python, pandas, статистика</p> Команда создаёт production-сервисы. Вакансия 38.","SQL,Python,pandas,статистика",Новосибирск,3-6 лет,Полная занятость,Удалённая работа,128169,158169,RUR,True,2025-02-08T00:00:00+00:00,employer-6
sample-039,Data Engineer,"<p>Построение ETL на Airflow, Spark, Kafka, PostgreSQL и Python</p> Команда создаёт production-сервисы. Вакансия 39.","Airflow,Spark,Kafka,PostgreSQL,Python",Москва,Нет опыта,Полная занятость,Полный день,161763,191763,RUR,True,2025-02-09T00:00:00+00:00,employer-7
sample-040,Python developer,"<p>Backend-разработка REST API на Python, FastAPI, PostgreSQL, Docker</p> Команда создаёт production-сервисы. Вакансия 40.","Python,FastAPI,PostgreSQL,Docker,REST API",Санкт-Петербург,1-3 года,Полная занятость,Удалённая работа,186270,216270,RUR,True,2025-02-10T00:00:00+00:00,employer-0
sample-041,DevOps инженер,"<p>Поддержка Linux, Docker, Git и CI/CD инфраструктуры</p> Команда создаёт production-сервисы. Вакансия 41.","Linux,Docker,Git,CI/CD",Новосибирск,3-6 лет,Полная занятость,Полный день,219782,249782,RUR,True,2025-02-11T00:00:00+00:00,employer-1
sample-042,ML Engineer,"<p>Разработка моделей машинного обучения на Python, PyTorch, Docker и MLflow</p> Команда создаёт production-сервисы. Вакансия 42.",,Москва,Нет опыта,Полная занятость,Удалённая работа,83667,113667,RUR,True,2025-02-12T00:00:00+00:00,employer-2
sample-043,Data Scientist,"<p>Исследование данных, статистика, Python, pandas, scikit-learn и SQL</p> Команда создаёт production-сервисы. Вакансия 43.","[""Python"", ""pandas"", ""scikit-learn"", ""SQL""]",Санкт-Петербург,1-3 года,Полная занятость,Полный день,101423,131423,RUR,True,2025-02-13T00:00:00+00:00,employer-3
sample-044,Аналитик данных,"<p>Анализ метрик и отчетность: SQL, Python, pandas, статистика</p> Команда создаёт production-сервисы. Вакансия 44.","SQL,Python,pandas,статистика",Новосибирск,3-6 лет,Полная занятость,Удалённая работа,140054,170054,RUR,True,2025-02-14T00:00:00+00:00,employer-4
sample-045,Data Engineer,"<p>Построение ETL на Airflow, Spark, Kafka, PostgreSQL и Python</p> Команда создаёт production-сервисы. Вакансия 45.","Airflow,Spark,Kafka,PostgreSQL,Python",Москва,Нет опыта,Полная занятость,Полный день,167571,197571,RUR,True,2025-02-15T00:00:00+00:00,employer-5
sample-046,Python developer,"<p>Backend-разработка REST API на Python, FastAPI, PostgreSQL, Docker</p> Команда создаёт production-сервисы. Вакансия 46.","Python,FastAPI,PostgreSQL,Docker,REST API",Санкт-Петербург,1-3 года,Полная занятость,Удалённая работа,179090,209090,RUR,True,2025-02-16T00:00:00+00:00,employer-6
sample-047,DevOps инженер,"<p>Поддержка Linux, Docker, Git и CI/CD инфраструктуры</p> Команда создаёт production-сервисы. Вакансия 47.","Linux,Docker,Git,CI/CD",Новосибирск,3-6 лет,Полная занятость,Полный день,212403,242403,RUR,True,2025-02-17T00:00:00+00:00,employer-7
sample-048,ML Engineer,"<p>Разработка моделей машинного обучения на Python, PyTorch, Docker и MLflow</p> Команда создаёт production-сервисы. Вакансия 48.","Python,PyTorch,Docker,MLflow",Москва,Нет опыта,Полная занятость,Удалённая работа,77582,107582,RUR,True,2025-02-18T00:00:00+00:00,employer-0
sample-049,Data Scientist,"<p>Исследование данных, статистика, Python, pandas, scikit-learn и SQL</p> Команда создаёт production-сервисы. Вакансия 49.",,Санкт-Петербург,1-3 года,Полная занятость,Полный день,118089,148089,RUR,True,2025-02-19T00:00:00+00:00,employer-1
sample-050,Аналитик данных,"<p>Анализ метрик и отчетность: SQL, Python, pandas, статистика</p> Команда создаёт production-сервисы. Вакансия 50.","SQL,Python,pandas,статистика",Новосибирск,3-6 лет,Полная занятость,Удалённая работа,134606,164606,RUR,True,2025-02-20T00:00:00+00:00,employer-2
sample-051,Data Engineer,"<p>Построение ETL на Airflow, Spark, Kafka, PostgreSQL и Python</p> Команда создаёт production-сервисы. Вакансия 51.","Airflow,Spark,Kafka,PostgreSQL,Python",Москва,Нет опыта,Полная занятость,Полный день,161850,191850,RUR,True,2025-02-21T00:00:00+00:00,employer-3
sample-052,Python developer,"<p>Backend-разработка REST API на Python, FastAPI, PostgreSQL, Docker</p> Команда создаёт production-сервисы. Вакансия 52.","Python,FastAPI,PostgreSQL,Docker,REST API",Санкт-Петербург,1-3 года,Полная занятость,Удалённая работа,193918,223918,RUR,True,2025-02-22T00:00:00+00:00,employer-4
sample-053,DevOps инженер,"<p>Поддержка Linux, Docker, Git и CI/CD инфраструктуры</p> Команда создаёт production-сервисы. Вакансия 53.","Linux,Docker,Git,CI/CD",Новосибирск,3-6 лет,Полная занятость,Полный день,206300,236300,RUR,True,2025-02-23T00:00:00+00:00,employer-5
sample-054,ML Engineer,"<p>Разработка моделей машинного обучения на Python, PyTorch, Docker и MLflow</p> Команда создаёт production-сервисы. Вакансия 54.","Python,PyTorch,Docker,MLflow",Москва,Нет опыта,Полная занятость,Удалённая работа,77279,107279,RUR,True,2025-02-24T00:00:00+00:00,employer-6
sample-055,Data Scientist,"<p>Исследование данных, статистика, Python, pandas, scikit-learn и SQL</p> Команда создаёт production-сервисы. Вакансия 55.","[""Python"", ""pandas"", ""scikit-learn"", ""SQL""]",Санкт-Петербург,1-3 года,Полная занятость,Полный день,101501,131501,RUR,True,2025-02-25T00:00:00+00:00,employer-7
sample-056,Аналитик данных,"<p>Анализ метрик и отчетность: SQL, Python, pandas, статистика</p> Команда создаёт production-сервисы. Вакансия 56.",,Новосибирск,3-6 лет,Полная занятость,Удалённая работа,132467,162467,RUR,True,2025-02-26T00:00:00+00:00,employer-0
sample-057,Data Engineer,"<p>Построение ETL на Airflow, Spark, Kafka, PostgreSQL и Python</p> Команда создаёт production-сервисы. Вакансия 57.","Airflow,Spark,Kafka,PostgreSQL,Python",Москва,Нет опыта,Полная занятость,Полный день,159482,189482,RUR,True,2025-02-27T00:00:00+00:00,employer-1
sample-058,Python developer,"<p>Backend-разработка REST API на Python, FastAPI, PostgreSQL, Docker</p> Команда создаёт production-сервисы. Вакансия 58.","Python,FastAPI,PostgreSQL,Docker,REST API",Санкт-Петербург,1-3 года,Полная занятость,Удалённая работа,177614,207614,RUR,True,2025-02-28T00:00:00+00:00,employer-2
sample-059,DevOps инженер,"<p>Поддержка Linux, Docker, Git и CI/CD инфраструктуры</p> Команда создаёт production-сервисы. Вакансия 59.","Linux,Docker,Git,CI/CD",Новосибирск,3-6 лет,Полная занятость,Полный день,207628,237628,RUR,True,2025-03-01T00:00:00+00:00,employer-3
